old,newQ,newV
800,166,170
790,164,170
780,163,170
770,161,170
760,160,170
750,159,169
740,158,169
730,157,168
720,156,168
710,155,167
700,155,166
690,154,165
680,153,165
670,152,164
660,152,164
650,151,163
640,151,162
630,150,162
620,149,161
610,149,160
600,148,160
590,148,159
580,147,158
570,147,158
560,146,157
550,146,156
540,145,156
530,145,155
520,144,154
510,144,154
500,144,153
490,143,152
480,143,152
470,142,151
460,142,151
450,141,150
440,141,149
430,141,149
420,140,148
410,140,147
400,140,146
390,139,146
380,139,145
370,138,144
360,138,143
350,138,143
340,137,142
330,137,141
320,136,140
310,136,139
300,136,138
290,135,137
280,135,135
270,134,134
260,134,133
250,133,132
240,133,131
230,132,130
220,132,130
210,131,130
200,131,130
